Train,Test,Model,n_common_features,AUC,F1,Precision,Recall,Brier,GLR,ECE,ReliabilityScore
pc3.arff,pc4.arff,gradient_boosting,37,0.668202,0.075064,0.185048,0.047191,0.11356,0.275822,0.084814,0.851032
pc4.arff,pc1.arff,gradient_boosting,10,0.630069,0.17807,0.212183,0.155844,0.075155,0.206594,0.065352,0.845982
pc4.arff,pc2.arff,gradient_boosting,36,0.803181,0.100831,0.05723,0.452174,0.023037,0.119776,0.069714,0.830058
pc4.arff,pc3.arff,gradient_boosting,37,0.701397,0.110188,0.232814,0.0725,0.096606,0.202652,0.074776,0.842183
pc1.arff,pc2.arff,lightgbm,10,0.874505,0.122346,0.087661,0.208696,0.009916,0.220888,0.036727,0.857906
pc1.arff,pc3.arff,lightgbm,10,0.763076,0.297735,0.36127,0.25375,0.100885,0.250483,0.077477,0.849255
pc1.arff,pc4.arff,lightgbm,10,0.774102,0.245958,0.43062,0.173033,0.110542,0.183926,0.080381,0.837194
pc2.arff,pc1.arff,lightgbm,10,0.695553,0.192975,0.256948,0.155844,0.078149,0.103722,0.074985,0.825626
pc2.arff,pc3.arff,lightgbm,36,0.694107,0.040807,0.219118,0.0225,0.103828,0.378647,0.102053,0.862424
pc2.arff,pc4.arff,lightgbm,36,0.530944,0.00221,0.066667,0.001124,0.121158,0.394779,0.119737,0.859217
pc3.arff,pc1.arff,lightgbm,10,0.799967,0.266768,0.307399,0.236363,0.068123,0.320732,0.037077,0.87443
pc3.arff,pc2.arff,lightgbm,36,0.777147,0.071655,0.051613,0.130435,0.011407,0.12431,0.063462,0.832898
pc3.arff,pc4.arff,lightgbm,37,0.729632,0.124047,0.235644,0.08427,0.119672,0.293922,0.075919,0.857014
pc4.arff,pc1.arff,lightgbm,10,0.744561,0.197015,0.205284,0.18961,0.078594,0.445295,0.043711,0.892979
pc4.arff,pc2.arff,lightgbm,36,0.827323,0.071648,0.038483,0.521739,0.033657,0.080766,0.078956,0.820476
pc4.arff,pc3.arff,lightgbm,37,0.729776,0.143899,0.235302,0.10375,0.104539,0.229513,0.08022,0.844846
pc1.arff,pc2.arff,mlp,10,0.398352,0.0,0.0,0.0,0.017948,0.304308,0.056015,0.86538
pc1.arff,pc3.arff,mlp,10,0.680968,0.237402,0.202181,0.29125,0.141542,0.213215,0.124999,0.827203
pc1.arff,pc4.arff,mlp,10,0.588605,0.19355,0.228451,0.169663,0.136152,0.354511,0.108336,0.856307
pc2.arff,pc1.arff,mlp,10,0.40967,0.0,0.0,0.0,0.06778,-0.212688,0.055985,0.779224
pc2.arff,pc3.arff,mlp,36,0.445196,0.0,0.0,0.0,0.102375,0.112667,0.101703,0.81821
pc2.arff,pc4.arff,mlp,36,0.433854,0.008604,0.116364,0.004494,0.122476,0.120771,0.122095,0.812764
pc3.arff,pc1.arff,mlp,10,0.72623,0.24974,0.220666,0.298701,0.094727,0.321782,0.097738,0.854385
pc3.arff,pc2.arff,mlp,36,0.603589,0.001896,0.001064,0.008696,0.023719,0.332208,0.046784,0.873107
pc3.arff,pc4.arff,mlp,37,0.652392,0.067436,0.120612,0.047191,0.137227,0.331023,0.121142,0.848123
pc4.arff,pc1.arff,mlp,10,0.577092,0.16449,0.138186,0.205195,0.113023,0.566345,0.099459,0.894571
pc4.arff,pc2.arff,mlp,36,0.750151,0.031983,0.016764,0.373913,0.073186,0.415292,0.109887,0.86592
pc4.arff,pc3.arff,mlp,37,0.596846,0.144916,0.162155,0.13125,0.131164,0.52032,0.121282,0.879626
pc1.arff,pc2.arff,random_forest,10,0.820053,0.105708,0.14651,0.113044,0.007296,0.188942,0.028529,0.855314
pc1.arff,pc3.arff,random_forest,10,0.780896,0.326717,0.324487,0.3325,0.100388,0.139187,0.083767,0.828609
pc1.arff,pc4.arff,random_forest,10,0.796675,0.272281,0.440329,0.2,0.103144,0.1005,0.076233,0.824673
pc2.arff,pc1.arff,random_forest,10,0.667441,0.096923,0.458095,0.057143,0.067801,0.042791,0.067018,0.818126
pc2.arff,pc3.arff,random_forest,36,0.680348,0.0,0.0,0.0,0.101015,0.112019,0.098539,0.81849
pc2.arff,pc4.arff,random_forest,36,0.53601,0.002174,0.033333,0.001124,0.120641,0.151268,0.116252,0.818461
pc3.arff,pc1.arff,random_forest,10,0.80675,0.321838,0.316658,0.32987,0.07779,0.19684,0.064991,0.844476
pc3.arff,pc2.arff,random_forest,36,0.832681,0.092786,0.121545,0.078261,0.006661,0.028475,0.029708,0.82651
pc3.arff,pc4.arff,random_forest,37,0.783932,0.123397,0.316138,0.077528,0.109618,0.096935,0.080063,0.821801
pc4.arff,pc1.arff,random_forest,10,0.748923,0.174273,0.185108,0.166234,0.081996,0.146453,0.079991,0.831078
pc4.arff,pc2.arff,random_forest,36,0.812861,0.083727,0.049962,0.26087,0.021699,0.073452,0.063052,0.824225
pc4.arff,pc3.arff,random_forest,37,0.742082,0.126742,0.195143,0.095,0.10349,0.10192,0.085667,0.821431
pc1.arff,pc2.arff,xgboost,10,0.869642,0.095778,0.063091,0.217391,0.013139,-0.132959,0.037026,0.798832
pc1.arff,pc3.arff,xgboost,10,0.755527,0.313152,0.352093,0.28375,0.100497,-0.264905,0.081126,0.76214
pc1.arff,pc4.arff,xgboost,10,0.763973,0.255358,0.382702,0.193258,0.11331,-0.286324,0.092576,0.754754
pc2.arff,pc1.arff,xgboost,10,0.633238,0.171953,0.25562,0.12987,0.077025,0.011385,0.073919,0.810591
pc2.arff,pc3.arff,xgboost,36,0.671658,0.107851,0.3187,0.065,0.102677,0.332141,0.099884,0.855395
pc2.arff,pc4.arff,xgboost,36,0.530244,0.026412,0.140623,0.014607,0.123322,0.312189,0.122018,0.844692
pc3.arff,pc1.arff,xgboost,10,0.778524,0.263547,0.298107,0.236363,0.066955,-0.05686,0.029168,0.814134
pc3.arff,pc2.arff,xgboost,36,0.765067,0.099219,0.072418,0.182609,0.010372,0.172173,0.053312,0.844258
