Model,Dataset,BaselineMetric,ProposedMetric,W_min_scipy,W_plus,W_minus,W_signed,p_value,significant_0.05,significant_0.01,effect_size_r
CatBoost,PC4,AUC mean,AUC mean,7.0,7.0,8.0,-1.0,1.0,False,False,-0.06666666666666667
CatBoost,PC4,F1 mean,F1 mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
CatBoost,PC4,Precision mean,Precision mean,6.0,9.0,6.0,3.0,0.8125,False,False,0.2
CatBoost,PC4,Recall mean,Recall mean,7.0,7.0,8.0,-1.0,1.0,False,False,-0.06666666666666667
CatBoost,PC4,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
CatBoost,PC4,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
CatBoost,PC4,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
CatBoost,PC4,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC1,AUC mean,AUC mean,1.0,1.0,14.0,-13.0,0.125,False,False,-0.8666666666666667
Extra Trees,MC1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,MC1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,MC1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,MC1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC2,AUC mean,AUC mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
Extra Trees,MC2,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC2,Precision mean,Precision mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC2,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC2,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC2,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,MC2,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MC2,Reliability Index,Reliability Score,7.0,7.0,8.0,-1.0,1.0,False,False,-0.06666666666666667
Extra Trees,MW1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MW1,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MW1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,MW1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MW1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MW1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,MW1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,MW1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,CM1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,CM1,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,CM1,Precision mean,Precision mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,CM1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,CM1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,CM1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,CM1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,CM1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
