Model,Dataset,BaselineMetric,ProposedMetric,W_min_scipy,W_plus,W_minus,W_signed,p_value,significant_0.05,significant_0.01,effect_size_r
Gradient Boosting,PC2,F1 mean,F1 mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
Gradient Boosting,PC2,Precision mean,Precision mean,6.0,6.0,9.0,-3.0,0.8125,False,False,-0.2
Gradient Boosting,PC2,Recall mean,Recall mean,6.0,9.0,6.0,3.0,0.8125,False,False,0.2
Gradient Boosting,PC2,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC2,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,PC2,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC2,Reliability Index,Reliability Score,1.0,14.0,1.0,13.0,0.125,False,False,0.8666666666666667
Gradient Boosting,PC3,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC3,F1 mean,F1 mean,5.0,10.0,5.0,5.0,0.625,False,False,0.3333333333333333
Gradient Boosting,PC3,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,PC3,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC3,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC3,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,PC3,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC3,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC4,AUC mean,AUC mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
Gradient Boosting,PC4,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC4,Precision mean,Precision mean,1.0,14.0,1.0,13.0,0.125,False,False,0.8666666666666667
Gradient Boosting,PC4,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC4,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC4,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,PC4,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,PC4,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MC1,AUC mean,AUC mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
LightGBM,MC1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MC1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MC1,Recall mean,Recall mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MC1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MC1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MC1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MC1,Reliability Index,Reliability Score,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MC2,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MC2,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MC2,Precision mean,Precision mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MC2,Recall mean,Recall mean,6.0,9.0,6.0,3.0,0.8125,False,False,0.2
LightGBM,MC2,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MC2,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MC2,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MC2,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MW1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MW1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MW1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MW1,Recall mean,Recall mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
LightGBM,MW1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MW1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,MW1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,MW1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,CM1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,CM1,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,CM1,Precision mean,Precision mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,CM1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,CM1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,CM1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,CM1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,CM1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC1,AUC mean,AUC mean,4.0,11.0,4.0,7.0,0.4375,False,False,0.4666666666666667
LightGBM,PC1,F1 mean,F1 mean,5.0,5.0,10.0,-5.0,0.625,False,False,-0.3333333333333333
LightGBM,PC1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,PC1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,PC1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC2,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC2,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC2,Precision mean,Precision mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC2,Recall mean,Recall mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
LightGBM,PC2,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC2,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,PC2,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC2,Reliability Index,Reliability Score,1.0,14.0,1.0,13.0,0.125,False,False,0.8666666666666667
LightGBM,PC3,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC3,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC3,Precision mean,Precision mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC3,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC3,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC3,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,PC3,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC3,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC4,AUC mean,AUC mean,7.0,7.0,8.0,-1.0,1.0,False,False,-0.06666666666666667
LightGBM,PC4,F1 mean,F1 mean,4.0,11.0,4.0,7.0,0.4375,False,False,0.4666666666666667
LightGBM,PC4,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,PC4,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC4,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC4,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
LightGBM,PC4,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
LightGBM,PC4,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
MLP,MC1,AUC mean,AUC mean,4.0,11.0,4.0,7.0,0.4375,False,False,0.4666666666666667
MLP,MC1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
