"Model","Train_dataset","Test_dataset","BaseMetric","ProposedMetric","Baseline_mean","Proposed_mean","Difference","Improvement","N_pairs","W_min_scipy","W_plus","W_minus","W_signed","p_value","p_value_two_sided","significant_0.05","effect_size_r"
"adaboost","pc1","pc4","Precision_mean","Precision","0.31000000000000005","0.317327","0.007326999999999972","0.007326999999999972","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc2","pc1","Precision_mean","Precision","0.10900000000000001","0.204337","0.09533699999999998","0.09533699999999998","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc2","pc3","Precision_mean","Precision","0.13000000000000003","0.261054","0.13105399999999998","0.13105399999999998","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc2","pc4","Precision_mean","Precision","0.164","0.24138099999999998","0.07738099999999998","0.07738099999999998","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc3","pc1","Precision_mean","Precision","0.188","0.190144","0.002144000000000007","0.002144000000000007","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc3","pc2","Precision_mean","Precision","0.016000000000000004","0.059345999999999996","0.043345999999999996","0.043345999999999996","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc3","pc4","Precision_mean","Precision","0.292","0.263052","-0.028947999999999974","-0.028947999999999974","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc4","pc1","Precision_mean","Precision","0.15","0.189035","0.039035000000000014","0.039035000000000014","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc4","pc2","Precision_mean","Precision","0.009","0.03788879999999999","0.028888799999999992","0.028888799999999992","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc4","pc3","Precision_mean","Precision","0.219","0.20927","-0.009729999999999989","-0.009729999999999989","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","MEAN","MEAN","Recall_mean","Recall","0.7300000000000001","0.419274","-0.3107260000000001","-0.3107260000000001","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc2","Recall_mean","Recall","0.7300000000000001","0.6695650000000001","-0.060435000000000016","-0.060435000000000016","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc3","Recall_mean","Recall","0.693","0.65125","-0.041749999999999954","-0.041749999999999954","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc4","Recall_mean","Recall","0.7110000000000001","0.45280899999999996","-0.2581910000000001","-0.2581910000000001","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc1","Recall_mean","Recall","0.6880000000000001","0.566234","-0.12176600000000004","-0.12176600000000004","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc3","Recall_mean","Recall","0.8690000000000001","0.41999999999999993","-0.4490000000000002","-0.4490000000000002","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc4","Recall_mean","Recall","0.9570000000000001","0.267416","-0.6895840000000001","-0.6895840000000001","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc1","Recall_mean","Recall","0.618","0.587013","-0.030986999999999987","-0.030986999999999987","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc2","Recall_mean","Recall","0.678","0.278261","-0.39973900000000007","-0.39973900000000007","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc4","Recall_mean","Recall","0.735","0.141573","-0.5934269999999999","-0.5934269999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc4","pc1","Recall_mean","Recall","0.5269999999999999","0.251948","-0.2750519999999999","-0.2750519999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc4","pc2","Recall_mean","Recall","0.8350000000000002","0.565217","-0.2697830000000002","-0.2697830000000002","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc4","pc3","Recall_mean","Recall","0.719","0.18","-0.5389999999999999","-0.5389999999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","MEAN","MEAN","Generalizability_mean","GLR","0.7377499999999999","0.20359259999999998","-0.5341573999999999","-0.5341573999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc2","Generalizability_mean","GLR","0.901","-0.024487","-0.9254870000000001","-0.9254870000000001","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc3","Generalizability_mean","GLR","0.915","-0.008073","-0.923073","-0.923073","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc4","Generalizability_mean","GLR","0.898","-0.014289000000000001","-0.912289","-0.912289","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc1","Generalizability_mean","GLR","0.8859999999999999","-0.11146","-0.9974599999999999","-0.9974599999999999","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc3","Generalizability_mean","GLR","0.529","0.33291400000000004","-0.19608599999999998","-0.19608599999999998","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc4","Generalizability_mean","GLR","0.549","0.3407452","-0.20825480000000002","-0.20825480000000002","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc1","Generalizability_mean","GLR","0.937","0.009575","-0.927425","-0.927425","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc2","Generalizability_mean","GLR","0.43100000000000005","0.388659","-0.04234100000000007","-0.04234100000000007","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc4","Generalizability_mean","GLR","0.41","0.430975","0.02097500000000002","0.02097500000000002","5","14.0","14.0","1.0","13.0","0.0625","0.125","False","0.8666666666666667"
