iter	Logloss
0	0.6756538905
1	0.6626679246
2	0.6487456387
3	0.6340442
4	0.6219529809
5	0.6068723408
6	0.5952623547
7	0.583742546
8	0.5759452314
9	0.5675649119
10	0.5574225951
11	0.5445907605
12	0.5359146402
13	0.5223287633
14	0.5177203343
15	0.5096078892
16	0.5011659089
17	0.4897468755
18	0.4798398111
19	0.4696625042
20	0.4640893431
21	0.4564014695
22	0.4500238552
23	0.4454906888
24	0.4380990443
25	0.4321664139
26	0.4255963815
27	0.4206504367
28	0.4148585339
29	0.4099369539
30	0.4016579437
31	0.3920498735
32	0.3865885825
33	0.3825087491
34	0.3762901775
35	0.3731770421
36	0.3709129297
37	0.3679067454
38	0.3629348957
39	0.3592685755
40	0.3518001872
41	0.3466068082
42	0.3421835291
43	0.3367352302
44	0.3347284767
45	0.3307699578
46	0.3272017518
47	0.3234186214
48	0.319934166
49	0.3186782771
50	0.3160735791
51	0.3145337358
52	0.31209286
53	0.3090237378
54	0.3044553158
55	0.3024032973
56	0.2981185757
57	0.295254221
58	0.2905249599
59	0.2862760596
60	0.2847553096
61	0.2837545704
62	0.27994175
63	0.2747155847
64	0.2719490165
65	0.2697561661
66	0.2666148263
67	0.2630073258
68	0.2609687687
69	0.2578507498
70	0.2565024001
71	0.2545075718
72	0.2521105939
73	0.2502627198
74	0.2486483829
75	0.247534498
76	0.2450852061
77	0.2434365413
78	0.2404057322
79	0.2396205535
80	0.2386991718
81	0.2358016743
82	0.2331271432
83	0.2311975687
84	0.2297625377
85	0.226776094
86	0.2258919391
87	0.2235281188
88	0.2219247473
89	0.2210581091
90	0.2196299495
91	0.2178659353
92	0.2172304815
93	0.2154536659
94	0.2131589917
95	0.2112439818
96	0.2091276824
97	0.2071387344
98	0.2060854252
99	0.2046659458
100	0.203459728
101	0.2019854006
102	0.2004078696
103	0.1986892889
104	0.1970132375
105	0.1950119291
106	0.1936634883
107	0.1921331537
108	0.190705615
109	0.189638384
110	0.1883045279
111	0.1865411723
112	0.1845703958
113	0.1830196219
114	0.1822953162
115	0.1813684409
116	0.1802537539
117	0.1787160218
118	0.1777382524
119	0.1760289084
120	0.1742974864
121	0.1731423974
122	0.1717768647
123	0.17078019
124	0.1688779993
125	0.1681054499
126	0.166687208
127	0.1660486532
128	0.1647799386
129	0.1642040631
130	0.1624598826
131	0.1610032334
132	0.1605768491
133	0.1591890333
134	0.1571052172
135	0.1564729163
136	0.1556339035
137	0.1549275656
138	0.1534492062
139	0.1526134035
140	0.1516194684
141	0.1510467625
142	0.1487183561
143	0.1479738735
144	0.1470900909
145	0.1458782856
146	0.1437295163
147	0.1428181255
148	0.1418129803
149	0.1408022546
150	0.1395643884
151	0.1385442457
152	0.1376505967
153	0.1366688103
154	0.1359956082
155	0.1354364064
156	0.1340759988
157	0.1333266021
158	0.1316674129
159	0.1311736642
160	0.1310656469
161	0.1292618859
162	0.1288196897
163	0.12833187
164	0.1276434062
165	0.1265637907
166	0.1253712487
167	0.1243302795
168	0.1230849199
169	0.1226076754
170	0.1220566792
171	0.1209088219
172	0.1197064749
173	0.1187044206
174	0.1181293475
175	0.1171732658
176	0.1163797877
177	0.1158713318
178	0.1152612268
179	0.1140964778
180	0.1133105907
181	0.1122840611
182	0.1114501558
183	0.1101977597
184	0.1092559717
185	0.1087787523
186	0.1083426492
187	0.1072527539
188	0.1066378134
189	0.1054045568
190	0.1048528778
191	0.1043706175
192	0.1036853933
193	0.1022969742
194	0.1016665971
195	0.1003549959
196	0.09956302569
197	0.0988124714
198	0.09806904855
199	0.09765166948
200	0.09714084022
201	0.09680123379
202	0.09628874262
203	0.09551364353
204	0.09486648376
205	0.09436417395
206	0.09361751845
207	0.09250795703
208	0.09219453679
209	0.09205720427
210	0.09119934264
211	0.09047294692
212	0.09026749455
213	0.08962172684
214	0.08893753377
215	0.08835318369
216	0.08732851601
217	0.0865738582
218	0.08584832815
219	0.08544419968
220	0.08469986101
221	0.08396467468
222	0.08313815517
223	0.08286218459
224	0.08222158138
225	0.08152561268
226	0.08119936584
227	0.0804582771
228	0.08015116831
229	0.07964000784
230	0.07919529188
231	0.07871670128
232	0.07803095748
233	0.07727207945
234	0.0766242063
235	0.07598795824
236	0.0751075244
237	0.07440541612
238	0.07416772884
239	0.07366506799
240	0.07342591963
241	0.07295669088
242	0.07225631922
243	0.07193513287
244	0.07170181082
245	0.07111347292
246	0.07078865886
247	0.07042949799
248	0.07030925927
249	0.06968208004
250	0.06931019988
251	0.06895231266
252	0.06853190335
253	0.06798902654
254	0.06716973081
255	0.06665483316
256	0.06625213258
257	0.06589830539
258	0.06531070318
259	0.06456138793
260	0.06435549553
261	0.0635044582
262	0.06328859967
263	0.06295523121
264	0.06268261795
265	0.06205657023
266	0.0618089775
267	0.0610176343
268	0.06062096346
269	0.06012338608
270	0.05990899398
271	0.05937100261
272	0.05907523527
273	0.05897366566
274	0.05859650197
275	0.05816260403
276	0.05745898427
277	0.05725493923
278	0.05661235091
279	0.05619461636
280	0.05610433302
281	0.05602729743
282	0.05575088741
283	0.05522938102
284	0.05478502036
285	0.05470595098
286	0.05431675751
287	0.05395956371
288	0.05363048997
289	0.05320624363
290	0.05266060267
291	0.05246724277
292	0.05187326232
293	0.05140971616
294	0.05123088318
295	0.05082415835
296	0.05072831481
297	0.05015531121
298	0.04972540087
299	0.04932903981
300	0.04923384168
301	0.04902799391
302	0.04879869393
303	0.04854490854
304	0.04848868339
305	0.0481051125
306	0.04767844904
307	0.0472725243
308	0.04700057911
309	0.04674223607
310	0.04661338549
311	0.04643140004
312	0.04620018753
313	0.0461260378
314	0.04565708495
315	0.04510594971
316	0.0446721409
317	0.04439642817
318	0.04410699905
319	0.04371054545
320	0.04364201624
321	0.04342486821
322	0.04301925943
323	0.04271785661
324	0.0425215402
325	0.04230688207
326	0.04197105287
327	0.04168330522
328	0.04131565131
329	0.04105222315
330	0.04067136776
331	0.04043245325
332	0.04022579118
333	0.03995134471
334	0.03981354492
335	0.03954530414
336	0.03939490797
337	0.0390509533
338	0.03874904222
339	0.03856059933
340	0.03830707465
341	0.03827251061
342	0.0381580824
343	0.03791754965
344	0.03758754246
345	0.03719091913
346	0.03714168421
347	0.03696671888
348	0.03675423674
349	0.03653378054
350	0.03633911002
351	0.03613796046
352	0.0359896388
353	0.03586967196
354	0.03569680085
355	0.03558293165
356	0.03536532436
357	0.03515954962
358	0.03496680013
359	0.03482415148
360	0.03463482724
361	0.03454929489
362	0.03430451161
363	0.03411049292
364	0.03388947705
365	0.03363090975
366	0.03345740576
367	0.03315843467
368	0.03292046194
369	0.03286511212
370	0.03277991426
371	0.03258317712
372	0.03233281154
373	0.03205329266
374	0.03194331819
375	0.03186332805
376	0.03162735182
377	0.03152033073
378	0.03141748096
379	0.03124490454
380	0.03119519451
381	0.03092365023
382	0.03070222174
383	0.03058296729
384	0.03047344949
385	0.03032691798
386	0.03020049669
387	0.03008040344
388	0.02997749906
389	0.02994289046
390	0.0298716069
391	0.02970779141
392	0.02956535531
393	0.02940412144
394	0.02929251567
395	0.02910348184
396	0.02896779117
397	0.02893977209
398	0.02876240873
399	0.02873266565
400	0.028674691
401	0.02865550788
402	0.02863068784
403	0.02840427187
404	0.02837665466
405	0.02818674878
406	0.0280365414
407	0.02800782887
408	0.0279050183
409	0.02776763149
410	0.02768657773
411	0.02759274397
412	0.02745418241
413	0.02737194592
414	0.02724395796
415	0.02711932889
416	0.02706123637
417	0.02691428867
418	0.02689404835
419	0.02678688045
420	0.02676987724
421	0.02671205965
422	0.02650120314
423	0.0263852278
424	0.02630211744
425	0.02624764791
426	0.02614175103
427	0.02602356472
428	0.02590207055
429	0.02587572159
430	0.0257860893
431	0.02569339509
432	0.02556971461
433	0.02541859836
434	0.02533194556
435	0.02525582953
436	0.0251787218
437	0.02500741751
438	0.02498704257
439	0.02490358993
440	0.02479001075
441	0.02476125859
442	0.02466863806
443	0.02458536188
444	0.024462651
445	0.02435186528
446	0.02423896266
447	0.02421829744
448	0.02411441317
449	0.02399055394
450	0.02387624564
451	0.02370201203
452	0.02357233167
453	0.02348404272
454	0.02344037433
455	0.0233992741
456	0.02332676881
457	0.0231614254
458	0.02313951903
459	0.02305328797
460	0.02295755919
461	0.02286205677
462	0.02279444662
463	0.02266077268
464	0.0225089025
465	0.02245860169
466	0.02241046225
467	0.02230381164
468	0.02224372557
469	0.02214979871
470	0.0221098052
471	0.02209200837
472	0.02207328568
473	0.02205108206
474	0.02203390782
475	0.02192590952
476	0.0219093171
477	0.02183017872
478	0.0217812007
479	0.02170786032
480	0.02159609494
481	0.02152602607
482	0.02140021492
483	0.02129033901
484	0.02122816189
485	0.02110611981
486	0.02109036607
487	0.02100046271
488	0.02092409026
489	0.02090815067
490	0.02084088727
491	0.02077320231
492	0.02075785539
493	0.02064266578
494	0.02056018033
495	0.02049612391
496	0.02034900756
497	0.02033470313
498	0.02031909591
499	0.02024640739
500	0.02017198598
501	0.0201575809
502	0.02005560375
503	0.01996012162
504	0.01990643038
505	0.01976572505
506	0.01968328765
507	0.01962793406
508	0.0195422436
509	0.01943853143
510	0.01942096932
511	0.01934356315
512	0.01925558722
513	0.01919392107
514	0.01912885222
515	0.01906123365
516	0.01898401413
517	0.01896988103
518	0.01890659673
519	0.01882750284
520	0.01871879423
521	0.01870427402
522	0.0186914107
523	0.01859515227
524	0.01850493782
525	0.01839461251
526	0.01838084482
527	0.0183100792
528	0.01822339591
529	0.01814421813
530	0.01807797364
531	0.0179523949
532	0.0179208794
533	0.01780745139
534	0.01768763025
535	0.0176290042
536	0.01759466637
537	0.01749154464
538	0.01744624022
539	0.01738215589
540	0.01729181833
